GENE	r2	GENEID	POP	HSQ	HSQSE	HSQP	VG	VGSE
TAPBPL	0.32759403893914557	ENSG00000139192.7	EUR	0.308069	0.043577	0	0.271644	0.049777
TARBP1	0.014900999411616316	ENSG00000059588.5	EUR	0.09075	0.039378	0.01943	0.090342	0.040558
TARS	0.003148710927994973	NA	NA	NA	NA	NA	NA	NA
TARS2	7.898374433636798e-4	ENSG00000143374.8	EUR	-0.008581	0.001252	0.1654	-0.008682	0.001376
TAS2R5	0.05069484548806982	ENSG00000127366.4	EUR	0.04993	0.019555	2.646e-4	0.047726	0.019198
TATDN2	0.0026275377945162237	ENSG00000157014.5	EUR	0.042879	0.030433	0.08867	0.042019	0.030234
TBC1D10B	0.001595603020962332	ENSG00000169221.9	EUR	0.136895	0.061998	0.002284	0.148248	0.074561
TBC1D13	0.008288711189841097	ENSG00000107021.11	EUR	0.003166	0.010805	0.412	0.003143	0.010731
TBC1D14	2.5147883170333784e-4	ENSG00000132405.14	EUR	-0.004761	0.024667	0.4466	-0.004717	0.024444
TBC1D15	0.0025071057634038375	ENSG00000121749.11	EUR	0.028496	0.026228	0.1753	0.028747	0.02669
TBC1D19	0.009936123054466154	ENSG00000109680.6	EUR	-9.9e-5	0.014505	0.4982	-9.9e-5	0.014393
TBC1D22A	0.0025313188551222693	ENSG00000054611.9	EUR	-0.011177	0.02175	0.3657	-0.010894	0.021221
TBC1D2B	0.030436497056874005	ENSG00000167202.6	EUR	0.074588	0.031766	0.005696	0.07131	0.031534
TBC1D4	0.3372377894435338	ENSG00000136111.8	EUR	0.40916400000000003	0.048192	5.551e-17	0.416834	0.074345
TBC1D5	0.0012676881317890687	ENSG00000131374.9	EUR	-0.003739	0.011321	0.4138	-0.003795	0.011497
TBC1D7	0.08041149733041375	ENSG00000145979.11	EUR	0.102539	0.042344	0.007573	0.104008	0.045571
TBC1D9B	0.0011038734938252663	ENSG00000197226.7	EUR	0.038204	0.031583	0.1509	0.037757	0.031558
TBCB	6.08554769627286e-4	ENSG00000105254.5	EUR	0.005088	0.012066	0.3729	0.005154	0.012231
TBCCD1	9.79470099417032e-4	ENSG00000113838.8	EUR	0.069872	0.032664	0.02471	0.070482	0.033747
TBCD	0.017844080362793006	ENSG00000141556.14	EUR	0.065074	0.032488	0.005429	0.065149	0.033693
TBCE	0.03831024353203703	ENSG00000116957.8	EUR	0.085398	0.028016	2.43e-5	0.082361	0.028578
TBCEL	0.003733173339361503	ENSG00000154114.8	EUR	-0.012333	0.014028	0.2939	-0.011484	0.013097
TBCK	0.048257741522631105	ENSG00000145348.11	EUR	0.039385	0.020795	0.01277	0.037673	0.020306
TBKBP1	0.22730962523679968	ENSG00000198933.4	EUR	0.175467	0.041372	0	0.161041	0.044123
TBPL1	0.0021822361789412556	NA	NA	NA	NA	NA	NA	NA
TBRG1	0.003186025968809871	ENSG00000154144.8	EUR	-0.011307	0.004522	0.1574	-0.01096	0.004441
TBRG4	0.040548991534138615	ENSG00000136270.9	EUR	0.068139	0.027352	0.003467	0.067411	0.028059
TBX19	0.011950472775172308	ENSG00000143178.7	EUR	0.056645	0.030442	0.0304	0.055526	0.030504
TBX6	0.12512425381369693	ENSG00000149922.6	EUR	0.302355	0.061267	0	0.306879	0.083421
TC2N	0.0815855789050343	ENSG00000165929.8	EUR	0.08775	0.027646	2.6e-5	0.085888	0.028432
TCEB3	0.012445317506814404	ENSG00000011007.7	EUR	0.025207	0.020402	0.1271	0.024052	0.019616
TCERG1	0.001450226934860209	ENSG00000113649.7	EUR	-0.00429	0.011204	0.4024	-0.004319	0.01129
TCF12	0.019440965107979196	ENSG00000140262.12	EUR	0.040201	0.026107000000000002	0.03165	0.040762	0.026875
TCF19	0.1921584387449355	ENSG00000137310.7	EUR	0.249257	0.046909	1.499e-15	0.242936	0.056386
TCF20	7.031097513320074e-4	ENSG00000100207.14	EUR	0.030493	0.024645	0.1232	0.029928	0.024456
TCF25	0.008529008537657026	ENSG00000141002.11	EUR	0.028662	0.020383	0.05046	0.028909	0.020836
TCF7	0.05906793238098189	ENSG00000081059.14	EUR	0.041908	0.021143	0.02273	0.040417	0.020727
TCFL5	0.11475634806805668	ENSG00000101190.8	EUR	0.187296	0.04169	1.411e-6	0.185485	0.046374
TCHP	2.3225418393225497e-4	ENSG00000139437.12	EUR	-0.012795	0.006214	0.2273	-0.0117	0.00576
TCIRG1	0.018015702099173903	ENSG00000110719.4	EUR	0.053405	0.031484	0.02649	0.05299	0.03211
TCN2	0.025440116770648207	ENSG00000185339.4	EUR	0.036741	0.023836	0.07524	0.037426	0.024619
TCP11	0.13107116220189927	ENSG00000124678.12	EUR	0.114884	0.035352	3.63e-8	0.114747	0.03871
TCP11L1	0.09068798431026119	ENSG00000176148.10	EUR	0.078291	0.026966	1.647e-5	0.077348	0.028163
TCP11L2	0.0018419450412496977	ENSG00000166046.6	EUR	-0.001724	0.009396	0.4492	-0.001662	0.009058
TCTA	0.0010204547848920067	ENSG00000145022.4	EUR	-0.004059	0.002783	0.2556	-0.00377	0.002601
TCTE1	8.144162964905986e-5	ENSG00000146221.8	EUR	0.110773	0.037751	0.002744	0.11104	0.039724
TCTN2	0.10327736081926348	ENSG00000168778.7	EUR	0.193905	0.051316	1.744e-7	0.204066	0.063461
TCTN3	0.0067967723631441055	ENSG00000119977.13	EUR	0.128443	0.039041	2.918e-5	0.12909	0.042854
TDG	0.0014205792161950629	ENSG00000139372.10	EUR	0.039165	0.036029	0.1959	0.038039	0.035375
TDP1	0.01826512714882253	ENSG00000042088.9	EUR	0.04361	0.027453	0.06461	0.042516	0.027149
TDP2	0.013658431429876194	ENSG00000111802.8	EUR	0.076853	0.03356	0.0137	0.077616	0.035128
TDRD7	0.026501486965412373	ENSG00000196116.6	EUR	0.047004	0.022962	0.006569	0.043939	0.022048
TDRKH	0.03700921347086582	ENSG00000182134.11	EUR	0.020321	0.016138	0.1098	0.020398	0.01632
TEC	6.062846321265733e-4	ENSG00000135605.7	EUR	0.009946	0.014641	0.2745	0.009934	0.01466
TECPR2	0.020423308298637845	NA	NA	NA	NA	NA	NA	NA
TEF	0.27970565490249893	ENSG00000167074.9	EUR	0.143541	0.039638	0	0.116988	0.036859
TEKT5	0.001028235550614522	ENSG00000153060.3	EUR	0.140442	0.039001	8.639e-5	0.142991	0.043107
TELO2	0.0226022415628995	ENSG00000100726.9	EUR	0.055754	0.031209	0.01974	0.057135	0.032756
TEP1	0.0241034520770204	ENSG00000129566.7	EUR	0.002012	0.026541	0.4778	0.002056	0.027121
TERF2	0.0011456463387174015	ENSG00000132604.3	EUR	-0.013354	0.002049	0.1365	-0.013425	0.002225
TERF2IP	1.2256777646539875e-4	ENSG00000166848.4	EUR	-0.001684	0.012956	0.4633	-0.001665	0.01281
TESC	0.0850171152322599	ENSG00000088992.13	EUR	0.079409	0.03081	8.491e-4	0.072082	0.028985
TESK2	0.08681558624924861	ENSG00000070759.11	EUR	0.072793	0.030994	2.436e-5	0.074283	0.033527
TET3	1.3587533654840753e-4	ENSG00000187605.9	EUR	-0.014848	0.003173	0.1608	-0.01457	0.003274
TEX10	0.042050656894411474	ENSG00000136891.8	EUR	0.066261	0.040789	0.02704	0.06673	0.042756
TEX2	3.522913132748041e-4	ENSG00000136478.2	EUR	-0.011873	0.001477	0.07877	-0.012037	0.001659
TEX264	0.008748663779963908	ENSG00000164081.8	EUR	0.003438	0.007958	0.3563	0.003394	0.007862
TFAM	0.0033439819228591604	ENSG00000108064.6	EUR	-0.005297	0.010403	0.3751	-0.005209	0.010239
TFB1M	0.23297886816160318	ENSG00000029639.6	EUR	0.256933	0.048114	7.849e-14	0.241076	0.054594
TFCP2	6.773156632861524e-5	NA	NA	NA	NA	NA	NA	NA
TFDP2	0.007451107740370526	ENSG00000114126.13	EUR	0.001231	0.016529	0.478	0.001204	0.016159
TFEB	0.012948296304213054	ENSG00000112561.12	EUR	0.007134	0.020287	0.3959	0.007178	0.020424
TFEC	9.655303974910254e-5	ENSG00000105967.11	EUR	0.030651	0.027889	0.1422	0.031529	0.02902
TFG	4.4594356636388827e-4	ENSG00000114354.7	EUR	0.007422	0.021014	0.3932	0.007382	0.020915
TFIP11	4.4256868425958905e-4	ENSG00000100109.11	EUR	0.02757	0.025027	0.185	0.028049	0.025586
TFPT	0.003160444518949387	ENSG00000105619.8	EUR	0.0145	0.028144	0.349	0.014728	0.028619
TFR2	0.018029876387232784	ENSG00000106327.8	EUR	0.022645	0.016746	0.06728	0.02175	0.016249
TGFB1I1	0.051477182660930106	ENSG00000140682.14	EUR	0.060509	0.026434	0.00343	0.060899	0.027708
TGFBRAP1	6.0898808630000354e-5	ENSG00000135966.7	EUR	-0.016128	0.012902	0.2297	-0.016125	0.012964
TGM1	0.039037221013085696	ENSG00000092295.7	EUR	0.077549	0.026926	6.214e-4	0.075997	0.027489
TGM5	0.23062407916831434	ENSG00000104055.10	EUR	0.146441	0.046887	0	0.132609	0.048687
TGOLN2	0.21417862117913958	ENSG00000152291.9	EUR	0.205663	0.038263	5.551e-16	0.174965	0.037981
TGS1	0.011473735286089628	ENSG00000137574.6	EUR	0.038187	0.022846	0.04029	0.038432	0.023375
THADA	0.001699094885813485	ENSG00000115970.12	EUR	0.008517	0.021168	0.3792	0.008512	0.021175
THAP5	0.03290757689660499	ENSG00000177683.8	EUR	0.05403	0.028507	0.01021	0.053638	0.029144
THAP6	0.0036895194934359766	ENSG00000174796.8	EUR	0.00796	0.01803	0.3655	0.008016	0.018178
THBS1	6.540998489975324e-4	ENSG00000137801.8	EUR	-0.026222	2e-6	0.001573	-0.024489	0.001305
THBS3	0.03439447836279263	ENSG00000169231.8	EUR	0.034235	0.015952	0.003192	0.034469	0.016334
THBS4	0.14844147005289357	ENSG00000113296.10	EUR	0.167476	0.038479	5.728e-10	0.16016	0.041025
THEM4	0.02471940324198516	ENSG00000159445.8	EUR	0.043246	0.025534	0.03358	0.04403	0.026587
THG1L	0.011806840762479693	ENSG00000113272.8	EUR	0.027791	0.019482	0.07161	0.027613	0.01955
THNSL1	0.044140482260201605	ENSG00000185875.8	EUR	0.196	0.048798	1.569e-7	0.196129	0.056718
THNSL2	0.19728838023867326	ENSG00000144115.11	EUR	0.294541	0.050494	5.551e-17	0.302693	0.06913
THOC5	0.0018751380486441006	ENSG00000100296.9	EUR	0.019834	0.022307	0.2201	0.020162	0.022809
THOP1	8.560441672279203e-5	ENSG00000172009.9	EUR	0.018793	0.024259	0.2609	0.018086	0.023406
THUMPD1	0.03225208578431103	ENSG00000066654.8	EUR	0.041197	0.017851	0.00524	0.040915	0.018108
THUMPD2	0.007952819380185201	ENSG00000138050.10	EUR	-0.010055	0.00837	0.2521	-0.010031	0.008386
THUMPD3	0.05768600446810534	ENSG00000134077.10	EUR	0.013307	0.018352	0.274	0.013162	0.018189
TIAM1	0.0068399094012838585	ENSG00000156299.6	EUR	0.015825	0.02511	0.3136	0.015976	0.025407
TIFA	0.1743292373739592	ENSG00000145365.8	EUR	0.152698	0.03742	3.512e-13	0.141676	0.039303
TIGD6	0.0010157906057492126	ENSG00000164296.6	EUR	0.019631	0.020286	0.2076	0.019239	0.019966
TIGD7	2.3480922929246533e-4	ENSG00000140993.5	EUR	-0.001593	0.02096	0.4783	-0.001616	0.021257
TIMELESS	0.08313038582108354	ENSG00000111602.7	EUR	0.108328	0.034495	3.613e-5	0.107349	0.036853
TIMM10	0.5862517749920324	ENSG00000134809.4	EUR	0.662536	0.0435	0	0.600797	0.105674
TIMM13	1.4892331022362921e-5	ENSG00000099800.2	EUR	-0.027591	0.006067	0.0731	-0.027121	0.006217
TIMM17A	0.0026581793478730035	ENSG00000134375.6	EUR	0.031556	0.026104	0.1369	0.03139	0.02617
TIMM22	0.0056693104427088465	ENSG00000177370.2	EUR	0.011773	0.016787	0.287	0.011842	0.016912
TIMM44	0.009422601674987765	ENSG00000104980.2	EUR	0.036505	0.022806	0.08171	0.034894	0.022007
TIMM50	0.0015952152974328796	ENSG00000105197.4	EUR	-0.012657	0.009212	0.2184	-0.012573	0.009195
TIMP2	0.0227962805675409	ENSG00000035862.7	EUR	0.021891999999999998	0.027659	0.2675	0.020504	0.025978
TIPIN	1.697399723832738e-4	ENSG00000075131.5	EUR	-0.00472	0.036418	0.4634	-0.004772	0.036829
TIPRL	0.07357009796521653	ENSG00000143155.8	EUR	0.220393	0.056602	4.686e-6	0.230264	0.068906
TIRAP	0.005730826724250904	ENSG00000150455.8	EUR	0.007974	0.021243	0.3888	0.008124	0.021655
TJP2	0.034952158775314594	ENSG00000119139.11	EUR	0.046849	0.025599	0.02188	0.046668	0.026009
TK1	0.0010499059683589697	ENSG00000167900.6	EUR	-0.008884	0.024517	0.4045	-0.008816	0.024346
TK2	0.05286479329458696	ENSG00000166548.10	EUR	0.075949	0.030535	0.001158	0.075965	0.031902
TKT	0.014313099875024146	ENSG00000163931.10	EUR	0.020839	0.022563	0.2008	0.02092	0.022808
TLE4	0.01761529532879729	ENSG00000106829.12	EUR	0.022848	0.020453	0.1762	0.022565	0.020306
TLE6	0.12680174587615417	ENSG00000104953.11	EUR	0.235772	0.043293	1.378e-7	0.237624	0.050798
TLN1	0.016607530435401634	ENSG00000137076.12	EUR	0.020193	0.017597	0.1558	0.019912	0.017454
TLR1	0.1602300845934724	ENSG00000174125.3	EUR	0.164556	0.040477	1.783e-9	0.159175	0.043961
TLR10	0.03317376053043475	ENSG00000174123.6	EUR	0.072279	0.027766	0.001294	0.071331	0.028434
TLR2	0.049528120761073026	ENSG00000137462.6	EUR	0.045924	0.022368	0.01362	0.04585	0.022773
TM2D1	0.04079698379643629	ENSG00000162604.6	EUR	0.002636	0.016325	0.4527	0.002633	0.016307
TM2D2	0.0016434448872741192	ENSG00000169490.12	EUR	0.03916	0.027064	0.0797	0.039239	0.027535
TM6SF1	0.027265959137800867	ENSG00000136404.11	EUR	0.093023	0.039987	0.008576	0.095824	0.043738
TM7SF3	0.016331431440861757	ENSG00000064115.6	EUR	0.063676	0.029895	0.01643	0.061494	0.029775
TMBIM1	0.09653945608979188	ENSG00000135926.6	EUR	0.104464	0.035597	4.421e-7	0.105553	0.038657
TMC6	0.0018119057061430999	ENSG00000141524.9	EUR	-0.021745	0.028222	0.3102	-0.021524	0.028052
TMCC3	0.03183401422772757	ENSG00000057704.6	EUR	0.092934	0.045915	0.04331	0.089628	0.046047
TMCO3	0.005141322514135133	ENSG00000150403.13	EUR	-0.002527	0.016385	0.4579	-0.002514	0.0163
TMCO4	0.0037551626370827067	ENSG00000162542.8	EUR	-0.009795	0.013829	0.331	-0.010049	0.014211
TMCO6	0.01137286769763557	ENSG00000113119.8	EUR	0.022699	0.018828	0.1123	0.021379	0.017943
TMED5	0.04149831294439791	ENSG00000117500.7	EUR	0.035646	0.018885	0.006347	0.036604	0.01983
TMED8	0.016939398677216853	ENSG00000100580.7	EUR	0.053969	0.021744	0.002769	0.052709	0.021781
TMEM106B	0.06338271702708977	ENSG00000106460.13	EUR	0.073219	0.030867	0.01012	0.074652	0.032651
TMEM106C	0.002274114514630459	ENSG00000134291.7	EUR	0.02227	0.021939	0.1742	0.021511	0.02134
TMEM107	9.604549144113362e-4	ENSG00000179029.9	EUR	0.064985	0.032827	0.03104	0.064699	0.033635
TMEM116	0.0648617004075127	ENSG00000198270.6	EUR	0.04389	0.026841	4.844e-5	0.043725	0.027742
TMEM120A	0.20004334513636515	ENSG00000189077.6	EUR	0.225322	0.045339	0	0.208453	0.05053
TMEM120B	0.0011251830710760657	ENSG00000188735.7	EUR	-0.014887	0.008659	0.2146	-0.015179	0.008921
TMEM123	0.08253361388192969	ENSG00000152558.10	EUR	0.124836	0.040179	6.838e-4	0.115965	0.040124
TMEM128	0.018595583550259465	ENSG00000132406.7	EUR	0.077871	0.033756	0.007986	0.078797	0.035474
TMEM129	2.0343195183928178e-5	ENSG00000168936.6	EUR	0.035725	0.020775	0.04609	0.035502	0.020992
TMEM132A	0.0028555030030231487	ENSG00000006118.10	EUR	0.011204	0.012876	0.2283	0.011228	0.012935
TMEM134	0.00014488346843544902	ENSG00000172663.4	EUR	0.051932	0.035212	0.1167	0.051997	0.036365
TMEM140	0.0798506987977425	ENSG00000146859.4	EUR	0.077558	0.024891	3.591e-5	0.072093	0.024263
TMEM141	7.879473815479363e-4	ENSG00000244187.2	EUR	-0.0013	0.015107	0.4751	-0.001308	0.015199
TMEM143	0.012687347497150028	ENSG00000161558.5	EUR	-0.028558	0.015559	0.1747	-0.02654	0.014717
TMEM147	2.0715352196826002e-4	ENSG00000105677.5	EUR	0.01242	0.020781	0.3203	0.012284	0.020586
TMEM14C	0.004621434685155579	ENSG00000111843.8	EUR	0.02394	0.039007	0.3149	0.02429	0.039771
TMEM14E	5.961812002298799e-4	ENSG00000221962.3	EUR	-0.007022	0.011942	0.3563	-0.007146	0.012175
TMEM156	0.20928635917453495	ENSG00000121895.7	EUR	0.228244	0.044955	4.322e-11	0.221885	0.052342
TMEM159	0.06923277423557576	ENSG00000011638.6	EUR	0.151975	0.043823	1.973e-6	0.154626	0.050285
TMEM161A	0.006434406255568854	ENSG00000064545.8	EUR	-0.006601	0.008548	0.332	-0.006483	0.008414
TMEM173	0.019840305224722028	ENSG00000184584.8	EUR	0.014880000000000001	0.022734999999999998	0.2334	0.01471	0.022577
TMEM175	2.8683808117201966e-4	ENSG00000127419.10	EUR	2.88e-4	0.010682	0.4916	2.89e-4	0.010702
TMEM179B	0.03178191486913044	ENSG00000185475.3	EUR	0.024994	0.017286	0.08731	0.024347	0.016999
TMEM18	0.04777525352640709	ENSG00000151353.10	EUR	0.10966	0.036565	4.994e-4	0.107344	0.038269
TMEM180	0.011104815650709211	ENSG00000138111.7	EUR	0.023451	0.020081	0.1152	0.023954	0.020728
TMEM184B	0.026243639430151677	ENSG00000198792.7	EUR	0.048177	0.029031	0.06496	0.04789	0.029578
TMEM200A	0.3510100914879519	ENSG00000164484.7	EUR	0.257985	0.050446	0	0.214477	0.051876
TMEM204	0.38239832393233064	ENSG00000131634.9	EUR	0.32557	0.051458	0	0.304475	0.063878
TMEM206	0.09198104752899283	ENSG00000065600.8	EUR	0.106872	0.033059	2.79e-5	0.106337	0.035175
TMEM209	0.0014434298943265908	ENSG00000146842.11	EUR	-0.022635	0.005161	0.09886	-0.021997	0.005228
TMEM214	2.936877564154477e-4	ENSG00000119777.13	EUR	-0.014929	8.71e-4	0.03621	-0.015046	0.001224
TMEM216	0.013662030581629967	ENSG00000187049.5	EUR	0.052061	0.02659	0.02666	0.052192	0.02729
TMEM222	0.028809665963874114	ENSG00000186501.8	EUR	0.043314	0.020726	0.006755	0.042774	0.020978
TMEM30A	0.1116554570667624	ENSG00000112697.10	EUR	0.107233	0.031469	8.956e-8	0.100116	0.031895
TMEM33	0.023722184311873267	ENSG00000109133.8	EUR	0.072012	0.031085	0.008657	0.071112	0.031866
TMEM38A	0.13522766734864108	ENSG00000072954.1	EUR	0.111388	0.031804	2.647e-5	0.10551	0.032254
TMEM38B	0.09210559674908869	ENSG00000095209.7	EUR	0.094538	0.028786	9.899e-6	0.094048	0.030609
TMEM41A	1.064767294600363e-4	ENSG00000163900.6	EUR	-0.003506	0.016757	0.4425	-0.003544	0.016942
TMEM43	0.010024527613943264	ENSG00000170876.7	EUR	0.019565	0.0216	0.2191	0.019642	0.021764
TMEM45A	0.04281104279281345	ENSG00000181458.6	EUR	0.056663	0.027829	0.009414	0.057497	0.029104
TMEM50B	0.0010430144367794493	ENSG00000142188.10	EUR	-0.026804	0.001886	0.0428	-0.027633	0.002505
TMEM53	0.051292733644492425	ENSG00000126106.9	EUR	0.044434	0.027305	0.03415	0.044071	0.027658
TMEM60	0.019450633709651426	ENSG00000135211.5	EUR	0.102574	0.031041	2.123e-5	0.101635	0.032745
TMEM62	0.00536188385345538	ENSG00000137842.2	EUR	0.008073	0.01551	0.3285	0.008319	0.016027
TMEM63A	0.0014493913035440076	ENSG00000196187.7	EUR	0.02122	0.025069	0.2496	0.021715	0.02579
TMEM68	0.020729688280912307	ENSG00000167904.9	EUR	0.0436	0.024531	0.04378	0.044848	0.025743
TMEM69	0.005136866823167654	ENSG00000159596.6	EUR	0.009531	0.012589	0.1972	0.00964	0.012787
TMEM70	0.013884593318977893	ENSG00000175606.6	EUR	0.015068	0.017574	0.2443	0.014903	0.017441
TMEM81	0.05869512718064498	ENSG00000174529.6	EUR	0.098	0.031861	5.905e-6	0.094025	0.032307
TMEM8A	0.04651263765524981	ENSG00000129925.5	EUR	0.055475	0.022207	0.00278	0.055577	0.022876
TMEM8B	3.046272344786102e-4	ENSG00000137103.11	EUR	0.009924	0.019933	0.3495	0.010077	0.020266
TMEM97	0.23162993757851744	ENSG00000109084.8	EUR	0.171937	0.037916	5.551e-17	0.149163	0.038029
TMEM99	0.07386917883451742	ENSG00000167920.4	EUR	0.096165	0.032081	9.391e-5	0.097402	0.03455
TMF1	3.163359561847871e-4	ENSG00000144747.9	EUR	-0.012988	0.007756	0.2217	-0.012783	0.007693
TMOD1	0.16844715204823824	ENSG00000136842.8	EUR	0.203608	0.051796	2.97e-8	0.208284	0.062968
TMTC4	0.23051036821838813	ENSG00000125247.11	EUR	0.204151	0.041779	4.732e-12	0.194365	0.046152
TMX1	0.14048989874438933	ENSG00000139921.8	EUR	0.159715	0.034192	6.037e-9	0.145418	0.03452
TMX4	0.00760942672586585	ENSG00000125827.4	EUR	-0.004333	0.016847	0.4296	-0.004377	0.017024
TNFAIP8	0.017895976040205434	ENSG00000145779.6	EUR	-7.99e-4	0.016564	0.4859	-8.15e-4	0.016877
TNFRSF10A	0.02325770911809092	ENSG00000104689.5	EUR	0.004128	0.016104	0.4244	0.004219	0.016464
TNFRSF10B	3.631608562081405e-5	ENSG00000120889.8	EUR	0.030681	0.026722	0.1798	0.03037	0.026635
TNFRSF11B	0.02030045599500277	ENSG00000164761.4	EUR	0.062387	0.029481	0.01048	0.064	0.03119
TNFRSF13B	8.866613457697721e-5	ENSG00000240505.2	EUR	-0.003817	0.013639	0.4246	-0.003772	0.013482
TNFRSF13C	0.0833584484861627	ENSG00000159958.3	EUR	0.305848	0.07731	3.07e-7	0.362	0.124316
TNFRSF17	0.017007830374815368	ENSG00000048462.5	EUR	0.036484	0.030445	0.1595	0.036199	0.030564
TNFRSF9	0.0025543535899572043	ENSG00000049249.4	EUR	0.01343	0.026118	0.344	0.013467	0.026232
TNFSF10	0.046488264127646055	ENSG00000121858.6	EUR	0.085381	0.026682	2.275e-4	0.0817	0.02668
TNFSF11	0.09464776038263276	ENSG00000120659.10	EUR	0.11566800000000001	0.032811	2.21e-6	0.113874	0.034822
TNFSF14	0.10027008954106999	ENSG00000125735.5	EUR	0.047182	0.032012	0.1037	0.04598	0.031555
TNIK	0.049255816886985215	ENSG00000154310.12	EUR	0.046762	0.025114	0.04602	0.046297	0.025305
TNIP1	0.008137987898223365	ENSG00000145901.9	EUR	-1.67e-4	0.013761	0.4961	-1.67e-4	0.01373
TNKS	1.647567052258841e-5	ENSG00000173273.10	EUR	0.002924	0.008071	0.388	0.002963	0.008181
TNKS1BP1	0.02984036923695144	ENSG00000149115.9	EUR	0.03727	0.021578	0.02559	0.037621	0.022191
TNPO2	0.007746899319011606	ENSG00000105576.9	EUR	0.075702	0.05453	0.03474	0.07747	0.058084
TNPO3	0.0030671438698910308	ENSG00000064419.9	EUR	-0.02303	1.6e-5	0.02159	-0.023076	0.001231
TOM1	2.7486731640488426e-4	ENSG00000100284.13	EUR	-1.67e-4	0.017036	0.4969	-1.71e-4	0.017453
TOMM22	0.003575186116749303	ENSG00000100216.4	EUR	-0.009483	0.005547	0.222	-0.009328	0.005496
TOMM34	0.053121645861007094	ENSG00000025772.7	EUR	0.017699	0.036783	0.36	0.017218	0.035916
TOMM70A	0.010302115419503894	ENSG00000154174.6	EUR	0.048041	0.02791	0.04711	0.048662	0.029006
TOP1	0.002627525569465631	ENSG00000198900.5	EUR	-0.020914	0.005735	0.1564	-0.019234	0.00555
TOP1MT	0.004556550752896306	ENSG00000184428.7	EUR	0.010541	0.022757	0.3525	0.010518	0.022743
TOP2B	0.0621873867654678	ENSG00000077097.8	EUR	0.077523	0.039632	0.02684	0.074388	0.039566
TOP3A	0.011681435370706178	ENSG00000177302.7	EUR	0.130209	0.053245	9.824e-4	0.138915	0.063236
TOP3B	0.021048804337731923	ENSG00000100038.14	EUR	0.003212	0.022347	0.4585	0.003061	0.021301
TOPBP1	7.85962922569116e-6	ENSG00000163781.8	EUR	-0.01208	0.018167	0.3414	-0.012026	0.018123
TOR1A	8.961276453748719e-4	ENSG00000136827.9	EUR	0.046535	0.023985	0.02417	0.046865	0.024544
TOR1B	1.0913597955212026e-5	ENSG00000136816.10	EUR	-0.032673	1.01e-4	0.02299	-0.033079	0.001772
TOX2	0.012009886232315935	ENSG00000124191.11	EUR	0.021564	0.021292	0.1906	0.020937	0.020765
TOX4	0.007258580676090461	ENSG00000092203.7	EUR	0.085556	0.036255	0.006863	0.086659	0.038133
TP53BP1	7.853607726658532e-5	ENSG00000067369.8	EUR	-0.002441	0.004101	0.3672	-0.002411	0.004055
TP53I3	0.05591252489899557	ENSG00000115129.9	EUR	0.064863	0.039298	0.03114	0.066296	0.041778
TP53INP1	0.006165649595215209	ENSG00000164938.9	EUR	-9.77e-4	0.01319	0.4785	-9.65e-4	0.013035
TP53INP2	0.02991330972743264	ENSG00000078804.8	EUR	0.028107	0.021128	0.0447	0.028852	0.022091
TP53TG1	0.0019961818845512552	ENSG00000182165.12	EUR	0.005209	0.016573	0.4045	0.005292	0.016845
TPBG	0.01586788482532431	ENSG00000146242.5	EUR	-0.003011	0.008223	0.4051	-0.002965	0.008101
TPH1	0.013266765994872377	ENSG00000129167.5	EUR	0.054178	0.030172	0.04719	0.055596	0.031666
TPK1	0.006918495058908695	ENSG00000196511.9	EUR	0.029366	0.020761	0.08424	0.029662	0.021179
TPM1	0.01896312900032099	ENSG00000140416.14	EUR	0.030236	0.019289	0.06706	0.030466	0.019619
TPM2	7.7566994089266e-5	ENSG00000198467.7	EUR	0.119646	0.046649	0.002164	0.120345	0.050638
TPMT	0.0029287035514084982	ENSG00000137364.4	EUR	-0.01865	0.007045	0.1469	-0.018341	0.007067
TPP1	0.011382759147428829	ENSG00000166340.9	EUR	0.036742	0.028015	0.1385	0.037569	0.028966
TPRG1L	0.002605843224894242	ENSG00000158109.9	EUR	0.089749	0.038374	0.02425	0.08667	0.038374
TPST1	0.024114453820858032	ENSG00000169902.8	EUR	0.029104	0.018909	0.002393	0.026974	0.017929
TPTE2	0.026941553634863894	ENSG00000132958.12	EUR	0.105063	0.031558	2.619e-7	0.103756	0.033698
TPX2	5.528886092553181e-4	ENSG00000088325.11	EUR	-0.004802	0.005778	0.3194	-0.004895	0.005901
TRABD	0.0317659466788993	ENSG00000170638.5	EUR	0.013834	0.019709	0.2902	0.013132	0.018758
TRAF1	0.01535783142541184	ENSG00000056558.6	EUR	0.020162	0.017898	0.1134	0.020516	0.018365
TRAF3	0.08453324633482258	ENSG00000131323.10	EUR	0.10364	0.03755	4.742e-4	0.099479	0.03842
TRAF3IP1	0.006250452303109343	ENSG00000204104.6	EUR	-0.031301	1e-6	0.001892	-0.030905	0.001647
TRAK1	0.008818672608925266	ENSG00000182606.9	EUR	0.0055	0.013875	0.3803	0.00558	0.014087
TRAP1	5.093453428733936e-5	ENSG00000126602.6	EUR	0.014197	0.019145	0.2801	0.014305	0.019338
TRAPPC10	0.0040921019906767445	ENSG00000160218.7	EUR	0.076151	0.038355	0.02278	0.076499	0.03999
TRAPPC2L	0.0036702766142493533	ENSG00000167515.6	EUR	0.034203	0.032133	0.1855	0.034388	0.032586
